Date,Price,Open,High,Low,Vol.,Change%
01/30/2004,113.48,113.52,113.72,113.09,30.99M,0.00%
01/29/2004,113.48,113.56,113.85,112.56,60.12M,0.10%
01/28/2004,113.37,114.98,115.28,112.94,52.89M,-1.14%
01/27/2004,114.68,115.85,116.5,114.65,35.37M,-1.03%
01/26/2004,115.87,114.44,115.93,114.38,30.47M,1.26%
01/23/2004,114.43,115.0,115.37,113.95,49.97M,-0.32%
01/22/2004,114.8,115.14,115.38,114.58,29.92M,-0.26%
01/21/2004,115.1,114.13,115.3,113.72,30.75M,0.79%
01/20/2004,114.2,114.53,114.65,113.82,29.88M,-0.03%
01/16/2004,114.23,114.04,114.31,113.63,31.93M,0.40%
01/15/2004,113.78,113.57,114.06,112.58,38.43M,0.25%
01/14/2004,113.5,112.76,113.66,112.67,30.15M,0.84%
01/13/2004,112.56,113.09,113.23,111.76,54.29M,-0.58%
01/12/2004,113.22,112.55,113.25,112.36,33.57M,0.74%
01/09/2004,112.39,112.83,113.5,112.27,54.09M,-0.87%
01/08/2004,113.38,113.25,113.41,112.77,37.05M,0.40%
01/07/2004,112.93,112.35,113.06,111.89,30.18M,0.34%
01/06/2004,112.55,112.16,112.73,112.0,20.51M,0.10%
01/05/2004,112.44,111.78,112.52,111.59,27.97M,1.09%
01/02/2004,111.23,111.74,112.19,110.73,38.08M,-0.04%
12/31/2003,111.28,111.22,111.52,110.84,31.51M,0.09%
12/30/2003,111.18,111.09,111.27,110.85,19.58M,0.02%
12/29/2003,111.16,110.1,111.27,109.78,22.55M,1.33%
12/26/2003,109.7,109.71,110.08,109.63,8.31M,0.07%
12/24/2003,109.62,109.52,109.88,109.43,8.06M,-0.10%
12/23/2003,109.73,109.48,109.95,109.38,24.76M,0.06%
12/22/2003,109.66,108.83,109.66,108.78,27.64M,0.70%
12/19/2003,108.9,109.3,109.37,108.58,41.47M,-0.75%
12/18/2003,109.72,108.55,109.73,108.39,29.79M,1.12%
12/17/2003,108.5,108.06,108.5,107.8,23.21M,0.31%
12/16/2003,108.16,107.68,108.5,107.52,32.91M,0.52%
12/15/2003,107.6,109.17,109.23,107.48,38.69M,-0.50%
12/12/2003,108.14,107.99,108.2,106.65,34.15M,0.19%
12/11/2003,107.93,106.68,108.1,106.67,45.48M,1.12%
12/10/2003,106.73,106.8,106.98,105.96,36.93M,-0.01%
12/09/2003,106.74,107.9,107.93,106.54,43.62M,-0.77%
12/08/2003,107.57,106.74,107.64,106.68,32.50M,0.67%
12/05/2003,106.85,107.12,107.8,106.62,28.85M,-0.70%
12/04/2003,107.6,107.17,107.72,106.94,36.10M,0.41%
12/03/2003,107.16,107.65,108.08,107.07,39.11M,-0.16%
12/02/2003,107.33,107.43,107.77,107.07,35.37M,-0.25%
12/01/2003,107.6,106.93,107.68,106.8,38.71M,1.08%
11/28/2003,106.45,106.31,106.66,106.2,10.51M,0.08%
11/26/2003,106.37,106.42,106.45,105.39,33.08M,0.36%
11/25/2003,105.99,105.71,106.42,105.45,37.58M,0.38%
11/24/2003,105.59,104.69,105.78,104.68,28.98M,1.32%
11/21/2003,104.21,104.24,104.33,103.62,30.03M,0.41%
11/20/2003,103.78,103.91,105.24,103.75,53.64M,-0.90%
11/19/2003,104.72,104.03,105.01,103.92,29.85M,0.85%
11/18/2003,103.84,105.24,105.45,103.7,41.17M,-1.04%
11/17/2003,104.93,104.91,105.14,104.04,44.44M,-0.50%
11/14/2003,105.46,106.4,106.95,105.29,49.16M,-0.85%
11/13/2003,106.36,106.01,106.54,105.78,29.73M,0.03%
11/12/2003,106.33,105.23,106.47,105.16,28.06M,1.12%
11/11/2003,105.15,105.09,105.33,104.8,26.81M,-0.03%
11/10/2003,105.18,105.74,105.84,105.01,25.54M,-0.41%
11/07/2003,105.61,106.64,106.72,105.57,31.74M,-0.74%
11/06/2003,106.4,105.6,106.44,105.1,28.41M,0.53%
11/05/2003,105.84,105.54,105.97,104.9,33.66M,0.08%
11/04/2003,105.76,105.99,106.27,105.58,31.44M,-0.22%
11/03/2003,105.99,105.75,106.61,105.71,37.61M,0.66%
10/31/2003,105.3,105.4,105.74,105.22,25.77M,-0.09%
10/30/2003,105.4,105.79,105.97,104.8,39.15M,0.21%
10/29/2003,105.18,104.77,105.43,104.69,30.97M,0.13%
10/28/2003,105.04,103.98,105.15,103.82,35.04M,1.36%
10/27/2003,103.63,103.74,104.18,103.27,32.34M,0.05%
10/24/2003,103.58,102.83,103.58,102.18,51.74M,0.22%
10/23/2003,103.35,102.89,103.95,102.84,46.43M,-0.18%
10/22/2003,103.54,104.03,104.19,103.19,34.13M,-1.26%
10/21/2003,104.86,104.82,105.28,104.32,26.77M,-0.17%
10/20/2003,105.04,104.45,105.04,103.94,27.79M,0.75%
10/17/2003,104.26,105.47,105.63,103.98,32.80M,-1.09%
10/16/2003,105.41,104.68,105.73,104.65,32.79M,0.40%
10/15/2003,104.99,105.86,105.89,104.64,39.89M,-0.27%
10/14/2003,105.27,104.8,105.43,104.36,38.51M,0.35%
10/13/2003,104.9,104.72,105.29,104.51,23.83M,0.32%
10/10/2003,104.57,104.27,104.6,103.91,22.69M,0.28%
10/09/2003,104.28,104.88,105.22,103.83,40.10M,0.27%
10/08/2003,104.0,104.33,104.39,103.41,30.94M,-0.25%
10/07/2003,104.26,103.26,104.31,102.91,42.64M,0.39%
10/06/2003,103.86,103.48,103.99,103.2,20.25M,0.45%
10/03/2003,103.39,103.67,104.28,103.08,48.82M,0.92%
10/02/2003,102.45,101.93,102.56,101.63,44.64M,0.36%
10/01/2003,102.08,100.24,102.18,100.2,65.81M,2.13%
09/30/2003,99.95,100.48,100.76,99.25,70.78M,-0.97%
09/29/2003,100.93,100.3,100.99,99.79,36.79M,0.98%
09/26/2003,99.95,100.44,100.66,99.85,42.92M,-0.33%
09/25/2003,100.28,101.41,101.88,100.2,53.19M,-0.82%
09/24/2003,101.11,103.12,103.22,101.07,41.72M,-1.78%
09/23/2003,102.94,102.59,103.29,102.36,32.51M,0.38%
09/22/2003,102.55,102.85,102.96,102.03,36.70M,-1.08%
09/19/2003,103.67,104.27,104.6,103.4,34.39M,-0.89%
09/18/2003,104.6,103.4,104.7,103.17,30.30M,1.18%
09/17/2003,103.38,103.48,103.78,103.05,32.07M,-0.19%
09/16/2003,103.58,102.23,103.64,102.17,37.96M,1.46%
09/15/2003,102.09,102.52,102.63,101.95,21.32M,-0.35%
09/12/2003,102.45,101.91,102.64,101.35,42.44M,0.19%
09/11/2003,102.26,102.1,102.76,101.84,38.80M,0.29%
09/10/2003,101.96,102.54,102.8,101.55,45.95M,-1.01%
09/09/2003,103.0,103.37,103.46,102.68,35.08M,-0.66%
09/08/2003,103.68,103.04,103.88,102.93,32.67M,0.83%
09/05/2003,102.83,102.94,103.55,102.4,31.66M,-0.56%
09/04/2003,103.41,103.1,103.55,102.76,28.40M,0.05%
09/03/2003,103.36,103.03,103.7,102.78,44.93M,0.54%
09/02/2003,102.8,101.64,102.88,101.05,50.86M,1.34%
08/29/2003,101.44,100.61,101.48,100.48,28.72M,0.67%
08/28/2003,100.76,100.4,101.0,99.66,27.43M,0.62%
08/27/2003,100.14,100.05,100.36,99.57,18.99M,0.03%
08/26/2003,100.11,99.5,100.39,98.83,45.08M,0.18%
08/25/2003,99.93,99.71,100.83,99.28,23.50M,0.16%
08/22/2003,99.77,101.75,101.82,99.73,52.05M,-0.99%
08/21/2003,100.77,101.05,101.52,100.4,46.55M,0.32%
08/20/2003,100.45,100.29,100.89,100.16,23.21M,-0.41%
08/19/2003,100.86,100.69,100.94,100.0,37.46M,0.38%
08/18/2003,100.48,99.93,100.6,99.74,22.95M,0.86%
08/15/2003,99.62,99.21,99.79,99.12,12.57M,0.31%
08/14/2003,99.31,99.1,99.75,98.45,36.26M,0.27%
08/13/2003,99.04,99.82,99.85,98.53,36.16M,-0.51%
08/12/2003,99.55,98.71,99.59,98.42,43.37M,0.91%
08/11/2003,98.65,98.26,99.04,97.84,34.64M,0.38%
08/08/2003,98.28,98.32,98.55,97.76,27.36M,0.29%
08/07/2003,98.0,97.17,98.07,96.76,43.55M,1.05%
08/06/2003,96.98,96.69,98.06,96.42,51.18M,0.58%
08/05/2003,96.42,98.41,98.76,96.34,61.75M,-2.12%
08/04/2003,98.51,98.31,99.0,97.0,55.55M,0.00%
08/01/2003,98.51,99.19,99.53,98.24,49.33M,-0.89%
07/31/2003,99.39,99.98,100.94,99.05,59.12M,0.23%
07/30/2003,99.16,99.6,99.79,98.93,28.43M,-0.24%
07/29/2003,99.4,100.14,100.27,98.68,53.57M,-0.46%
07/28/2003,99.86,100.37,100.98,99.67,34.42M,-0.37%
07/25/2003,100.23,98.66,100.29,98.04,43.33M,1.77%
07/24/2003,98.49,99.99,100.34,98.37,41.18M,-0.76%
07/23/2003,99.24,99.21,99.45,98.28,37.30M,0.07%
07/22/2003,99.17,98.69,99.41,97.91,50.01M,0.91%
07/21/2003,98.28,99.45,99.49,97.85,35.14M,-1.24%
07/18/2003,99.51,99.02,99.8,98.46,35.71M,1.03%
07/17/2003,98.5,99.15,99.88,98.16,48.93M,-1.42%
07/16/2003,99.92,100.81,100.87,99.23,40.22M,-0.59%
07/15/2003,100.51,101.38,101.46,99.95,63.63M,-0.22%
07/14/2003,100.73,101.2,101.9,99.92,42.16M,0.49%
07/11/2003,100.24,99.39,100.45,99.39,40.08M,0.95%
07/10/2003,99.3,99.84,100.04,98.63,49.85M,-1.27%
07/09/2003,100.58,100.92,101.4,100.03,36.63M,-0.56%
07/08/2003,101.15,100.5,101.29,100.17,33.16M,0.45%
07/07/2003,100.7,99.65,100.9,99.65,31.43M,1.99%
